row,created_at,ticker,headline,day_change_pct,momentum,momentum_conviction,value,value_conviction,risk,risk_conviction,weighted_committee_score,weighted_implied_action,pm_action,sentiment,confidence,risk_should_trade,execution_submitted,risk_gate_reason,verdict,severity_score,flags,pm_reasoning
1,2026-05-12 01:38:18.772728+00,PLUG,"Plug Power, AST SpaceMobile, Quantum Computing Inc., Rigetti, And GameStop: Why These 5 Stocks Are On Investors' Radars Today",12.48,BULLISH,0.85,BEARISH,0.35,BEARISH,0.7,-0.2,HOLD,HOLD,-0.5,0.42,False,False,Portfolio Manager chose HOLD.,High priority review,5,broad_watchlist_or_trending_headline; value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The momentum trader’s high‑conviction bullish view is outweighed by the value investor and risk manager’s bearish arguments on fundamentals and policy risk, but the strong bullish dissent drags confidence lower, so we stay on the sidelines."
2,2026-05-11 22:48:16.340624+00,FTAI,Here's How Much $100 Invested In FTAI Aviation 10 Years Ago Would Be Worth Today,3.78,BULLISH,0.7,BEARISH,0.82,BEARISH,0.88,-1.0,SELL,HOLD,-0.3,0.65,False,False,Portfolio Manager chose HOLD.,High priority review,6,historical_return_article_not_trade_news; value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee split between short-term momentum optimism (value investor) and regulatory/macro risks (risk manager). The value investor’s bearishness (0.82) and risk manager’s high-conviction bearish warning (0.88) dominate the momentum trader’s lower-conviction bullish take (0.70). Regulatory shifts and currency risks outweigh retail-driven narratives, suggesting a HOLD until clarity on earnings/regulatory guidance emerges."
3,2026-05-11 22:45:12.212534+00,MARA,"UPDATE: Marathon Digital Holdings Q1 Adj. EPS $(0.61) Beats $(2.15) Estimate, Sales $174.614M Miss $179.152M Estimate",3.51,BULLISH,0.78,BEARISH,0.62,BEARISH,0.85,-0.69,HOLD,SELL,-0.32,0.58,False,False,Directional sentiment did not clear the configured threshold.,Review,4,pm_directional_but_risk_gate_blocked; value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee is split, with the momentum trader citing the EPS beat as a short‑term catalyst, while the value investor and high‑conviction risk manager warn of persistent losses, a revenue miss, and regulatory/macroeconomic headwinds; the bearish side outweighs the bullish view, leading to a sell recommendation."
4,2026-05-11 22:05:14.7688+00,MYPS,PLAYSTUDIOS Says Co Is Not Providing Formal Financial Guidance At This Time,11.28,NEUTRAL,0.8,NEUTRAL,0.6,BEARISH,0.7,-0.7,HOLD,HOLD,0.03,0.63,False,False,Portfolio Manager chose HOLD.,Minor concern,1,risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the neutral stance of the Momentum Trader and Value Investor, and the bearish outlook of the Risk Manager. While the Momentum Trader and Value Investor see the lack of formal financial guidance as neutral to slightly positive, the Risk Manager warns of potential tail risks and regulatory uncertainties. Weighing the conviction scores, the Risk Manager's dissenting view with a conviction of 0.70 brings down the overall confidence. Given the mixed views and moderate conviction levels, a cautious approach is warranted."
5,2026-05-11 22:05:12.18926+00,TSX:DCM,"DATA Comms Mgmt Q1 Adj. EPS $0.10 Beats $0.07 Estimate, Sales $117.443M Miss $118.200M Estimate",,BULLISH,0.65,NEUTRAL,0.8,BEARISH,0.9,-0.25,HOLD,HOLD,-0.2,0.58,False,False,Portfolio Manager chose HOLD.,Minor concern,1,risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the near-term momentum advantage from the EPS beat and concerns over the sales miss, regulatory risks, and the need for a more in-depth fundamental analysis. While the Momentum Trader is bullish with a relatively low conviction of 0.65, the Risk Manager presents a high-conviction bearish case of 0.90, citing regulatory risks that could derail the company's financial performance. The Value Investor's neutral stance with a high conviction of 0.80 adds weight to the cautious side, emphasizing the need for a detailed analysis of the company's financial health."
6,2026-05-11 22:00:57.172631+00,CSGS,"CSG Systems International And NEC Corporation Receive CFIUS Clearance For Merger On May 7, 2026",-0.02,BULLISH,0.82,BEARISH,0.65,BEARISH,0.7,-0.53,HOLD,HOLD,0.0,0.4,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee is split between a high-conviction bullish Momentum Trader (0.82) advocating for a merger-driven breakout to $85 and two bearish dissenters emphasizing fundamental and systemic risks. While CFIUS clearance eliminates a key regulatory hurdle, the Risk Manager’s macro-level concerns (geopolitical tensions, rate sensitivity) and the Value Investor’s skepticism about fair valuation meaningfully lower confidence. The high-conviction dissenter tips the balance toward caution, but not decisively to bearish, given uneven conviction scores."
7,2026-05-11 21:50:10.489969+00,BIOX,"Bioceres Crop Solutions Q3 EPS $(0.16) Misses $(0.05) Estimate, Sales $39.400M Miss $54.500M Estimate",15.03,BEARISH,0.85,BEARISH,0.92,BEARISH,0.98,-2.75,SELL,SELL,-0.9,0.92,True,True,Signal passed configured sentiment and confidence gates.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a unanimous bearish stance on BIOX, with all analysts citing significant concerns over the company's Q3 earnings miss and sales underperformance. The key tension lies in the balance between the immediate fundamental risks (earnings miss, sales shortfall) and potential systemic risks (global food crisis, regulatory changes). High-conviction dissenters are absent, as all analysts share a bearish outlook, with the Risk Manager displaying the highest conviction score of 0.98."
8,2026-05-11 21:45:13.643203+00,SATL,"Satellogic Q1 EPS $(0.84) Misses $(0.08) Estimate, Sales $6.107M Beat $5.273M Estimate",15.23,BEARISH,0.8,BEARISH,0.9,BEARISH,0.95,-2.65,SELL,SELL,-0.8,0.85,False,False,Confidence did not clear the configured threshold.,Review,3,pm_directional_but_risk_gate_blocked; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the immediate impact of Satellogic's Q1 EPS miss and the potential long-term risks associated with geopolitical tensions. All three analysts are bearish, with high conviction scores, particularly the Risk Manager at 0.95. The consensus is that the EPS miss and potential regulatory risks outweigh the positive sales beat, suggesting a cautious approach."
9,2026-05-11 21:45:11.213462+00,SMCI,"Super Micro Computer Reiterates Its Fiscal Year 2026 Business Outlook As Previously Stated On May 5, 2026",-5.26,BEARISH,0.75,NEUTRAL,0.6,BEARISH,0.8,-1.55,SELL,SELL,-0.583,0.7167,False,False,Directional sentiment did not clear the configured threshold.,Review,4,pm_directional_but_risk_gate_blocked; value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the bearish views, driven by the lack of upside surprise in SMCI's reiterated FY2026 guidance, and a neutral perspective focusing on long-term fundamentals. High-conviction dissenters, particularly the Risk Manager at 0.80 conviction, significantly weigh on the overall sentiment."
10,2026-05-11 21:40:16.534021+00,STRR,"Star Equity Hldgs Q1 Adj. EPS $(0.99) Misses $(0.67) Estimate, Sales $50.061M Beat $17.850M Estimate",-6.16,BEARISH,0.8,BEARISH,0.9,NEUTRAL,0.7,-1.7,SELL,HOLD,-0.8,0.78,False,False,Portfolio Manager chose HOLD.,Review,4,pm_action_differs_from_weighted_committee_SELL; risk_manager_generic_macro_or_regulatory_risk; high_confidence_hold,"The committee debate highlights a key tension between the bearish views of the Momentum Trader and Value Investor, who emphasize the significant EPS miss as a negative catalyst, and the Risk Manager's neutral stance, which cautions against overlooking potential short squeeze risks or sector-specific regulatory changes. The Value Investor's high conviction score of 0.90 and the Momentum Trader's score of 0.80 both weigh heavily on the bearish side, but the Risk Manager's dissenting view with a conviction score of 0.70 introduces uncertainty. Given the bearish consensus but with consideration of the dissenting view, a cautious approach is warranted."
